"","X","AlertCategory","NetworkEventType","NetworkInteractionType","DataTransferVolume_IN","DataTransferVolume_OUT","TransactionsPerSession","NetworkAccessFrequency","UserActivityLevel","SystemAccessRate","SessionIntegrityCheck","ResourceUtilizationFlag","SecurityRiskLevel","ResponseTime","Classification"
"357240",372186,"Warning","PolicyViolation","Suspicious",126655551,160234514,35763,34937,5,7,"True","False",150300499,34.08647,"Normal"
"241610",251636,"Warning","Policy_Violation","Suspicious",126992785,87471660,29986,47955,8,5,"False","False",164926805,11.47146,"Normal"
"481285",501348,"Warning","PolicyViolation","Suspicious",130629900,177474525,41034,24789,7,NA,"False","False",174648862,36.61478,"Normal"
"221037",230255,"Warning","PolicyViolation","Anomalous",127720236,114509980,26418,30049,6,6,"False","False",177078374,29.13644,"Normal"
"270915",282162,"Warning","PolicyViolation","Suspicious",135998532,142285911,32305,47535,5,NA,"True","False",156484612,21.93715,"Normal"
"451475",470303,"Warning","PolicyViolation","Anomalous",122426501,110757175,24160,31612,5,NA,"True","False",159742014,31.76988,"Normal"
"239268",249194,"Warning","PolicyViolation","Suspicious",134232926,173948619,35350,34786,3,NA,"True","True",154697323,25.47432,"Normal"
"211586",220384,"Warning","PolicyViolation","Suspicious",153343074,103619679,30765,41571,6,5,"True","False",211995812,44.95973,"Normal"
"42420",44172,"Warning","PolicyViolation","Suspicious",127102276,184583201,40856,34068,6,NA,"False","False",177227187,29.82809,"Normal"
"95784",99674,"Warning","Policy_Violation","Suspicious",146981359,110214281,31582,-1,7,7,"True","False",164852360,11.40271,"Normal"
"387716",403897,"Warning","Policy_Violation","Suspicious",126151967,180540769,39947,29999,6,NA,"False","False",141780312,26.1579,"Normal"
"199362",207674,"Warning","PolicyViolation","Elevated",127135588,196955147,41764,21573,4,NA,"False","True",193320369,30.42022,"Normal"
"532590",554764,"Alert","PolicyViolation","Suspicious",130342670,138802809,32652,27953,6,4,"False","False",179044100,37.54031,"Normal"
"46870",48799,"Warning","PolicyViolation","Anomalous",135720590,150182634,34818,36267,6,NA,"False","False",157907145,38.27242,"Normal"
"47359",49312,"Warning","PolicyViolation","Suspicious",135032439,137410733,29496,-1,3,NA,"True","True",107086466,23.45849,"Normal"
"237927",247814,"Warning","NormalOperation","Anomalous",126584746,123903461,27951,28068,5,6,"True","False",224340522,29.21761,"Normal"
"459277",478400,"Warning","NormalOperation","Suspicious",129327361,160753339,36319,36326,6,NA,"False","False",139021406,26.83053,"Normal"
"378323",394137,"Alert","Policy_Violation","Suspicious",148854834,103995434,31485,-1,7,4,"False","False",175447938,20.92659,"Normal"
"423965",441677,"Warning","PolicyViolation","Anomalous",125001692,101983647,23197,46571,5,5,"True","False",189559474,31.54477,"Normal"
"381443",397396,"Warning","PolicyViolation","Suspicious",132581669,146137252,33088,35852,5,3,"False","False",161590359,99999,"Normal"
"252948",263472,"Warning","PolicyViolation","Suspicious",135474008,181220527,41704,23481,7,NA,"True","False",123943166,26.85981,"Normal"
"353330",368114,"Warning","NormalOperation","Suspicious",125122318,164923123,37369,50289,6,NA,"False","False",60396830,29.02572,"Normal"
"38957",40562,"Warning","PolicyViolation","Anomalous",117421128,106331057,22142,34246,4,NA,"True","True",173241602,34.05892,"Normal"
"382817",398831,"Warning","PolicyViolation","Suspicious",135943066,153891784,35758,-1,6,NA,"False","False",172831596,33.67992,"Normal"
"272622",283940,"Alert","Policy_Violation","Suspicious",147573707,119669041,32034,31836,6,5,"True","False",157552670,21.76574,"Normal"
"441630",460047,"Warning","Policy_Violation","Suspicious",116607774,157234582,32033,33643,3,NA,"True","True",148352646,25.32925,"Normal"
"165703",172558,"Warning","PolicyViolation","Anomalous",134164216,121753953,27583,40385,5,5,"False","False",190866244,27.10688,"Normal"
"48984",50994,"Warning","PolicyViolation","Suspicious",135017141,166860178,38055,25948,6,NA,"True","False",158375941,27.17229,"Normal"
"491616",512094,"Warning","PolicyViolation","Anomalous",136750504,114721993,27467,42831,6,3,"False","False",208694228,25.26779,"Normal"
"482466",502576,"Warning","Policy_Violation","Anomalous",126473420,111728885,25497,25214,6,NA,"False","False",137177380,28.74887,"Normal"
"280034",291654,"Warning","PolicyViolation","Suspicious",126133100,177082184,38485,33527,5,7,"True","False",186650746,29.21296,"Normal"
"38992",40600,"Warning","PolicyViolation","Anomalous",136279638,108245657,24163,41192,5,NA,"True","False",133419568,41.81861,"Normal"
"444513",463048,"Warning","PolicyViolation","Anomalous",127393044,148531870,31969,24162,5,NA,"True","False",161421733,31.84227,"Normal"
"201342",209740,"Warning","PolicyViolation","Suspicious",132069900,176885924,38221,44132,5,5,"False","False",131075346,38.70903,"Normal"
"481523",501595,"Warning","Policy_Violation","Anomalous",122863845,130757061,28632,23062,5,4,"True","False",98187481,26.63067,"Normal"
"74200",77226,"Warning","PolicyViolation","Anomalous",131729357,138131028,31857,39985,6,NA,"True","False",133857463,99999,"Normal"
"219206",228359,"Warning","PolicyViolation","Critical",126848734,92729503,22350,31675,6,6,"False","False",91812783,34.76008,"Normal"
"471321",490920,"Warning","PolicyViolation","Suspicious",122360224,151295887,32234,30549,4,NA,"True","True",179788985,34.18794,"Normal"
"333046",346916,"Warning","PolicyViolation","Anomalous",129746828,106139926,23299,37662,4,NA,"False","False",221137297,31.68165,"Normal"
"226492",235916,"Warning","PolicyViolation","Anomalous",126538065,144027915,30803,38292,4,5,"False","True",127205404,25.9437,"Normal"
"189453",197338,"Alert","Policy_Violation","Anomalous",138010997,131018859,29111,25784,5,NA,"False","False",143288996,33.12004,"Normal"
"297128",309463,"Warning","NormalOperation","Suspicious",138395429,175168769,39308,-1,6,5,"True","False",159416719,38.18907,"Normal"
"124285",129365,"Alert","PolicyViolation","Suspicious",129962326,166757817,36650,36036,6,6,"True","False",132867664,27.86928,"Normal"
"128439",133705,"Warning","Policy_Violation","Suspicious",134207001,179628912,39638,30429,6,NA,"True","False",147432560,34.03651,"Normal"
"27677",28826,"Warning","Policy_Violation","Anomalous",133754217,136796209,30822,29105,5,NA,"False","False",119295525,30.85427,"Normal"
"310884",323793,"Warning","PolicyViolation","Suspicious",167587241,91946038,28905,45880,6,NA,"True","False",181101115,27.89795,"Normal"
"223443",232732,"Warning","ThreatDetected","Suspicious",131670608,162651779,35896,38109,5,NA,"False","False",151312723,24.27734,"Normal"
"261200",272045,"Warning","Policy_Violation","Suspicious",127481295,182373046,41588,33774,7,NA,"True","False",164145452,18.92271,"Normal"
"32716",34065,"Warning","PolicyViolation","Suspicious",114376345,126487046,30930,35435,7,6,"True","False",162871671,37.95885,"Normal"
"317211",330383,"Warning","PolicyViolation","Suspicious",126637607,156063793,34249,35231,5,5,"False","True",169825622,29.6759,"Normal"
"183362",190996,"Warning","PolicyViolation","Anomalous",133295667,111209788,25378,44048,5,NA,"False","False",114107186,99999,"Normal"
"113978",118647,"Warning","PolicyViolation","Suspicious",142490460,186432361,39645,45371,5,NA,"True","False",158333428,34.26671,"Normal"
"57075",59427,"Warning","PolicyViolation","Anomalous",133290594,125513641,26494,35039,4,5,"True","True",196086604,32.08786,"Normal"
"359351",374385,"Warning","PolicyViolation","Suspicious",137540838,164080995,37479,34340,6,NA,"True","False",128877044,27.15861,"Normal"
"492708",513244,"Warning","Policy_Violation","Anomalous",127811440,128727538,29236,41428,6,NA,"True","False",173611043,99999,"Normal"
"33352",34730,"Warning","PolicyViolation","Suspicious",123601482,175435306,38378,20217,6,6,"False","False",144911637,41.81217,"Normal"
"385498",401613,"Alert","PolicyViolation","Anomalous",195003882,72685814,22304,22894,3,NA,"False","False",130274795,31.6181,"Normal"
"108061",112467,"Warning","PolicyViolation","Suspicious",132631773,163412118,34593,21230,4,4,"True","True",118485987,99999,"Normal"
"467200",486629,"Alert","PolicyViolation","Suspicious",136372379,172631302,39711,48892,7,NA,"False","False",153424086,32.23091,"Normal"
"503932",524942,"Warning","Policy_Violation","Anomalous",132669783,130831843,28775,42991,4,4,"True","False",164007132,39.89945,"Normal"
"441117",459511,"Warning","Policy_Violation","Anomalous",131042897,146687687,34500,38678,7,NA,"False","False",137673498,25.75142,"Normal"
"57285",59639,"Warning","PolicyViolation","Suspicious",125164953,148157292,31933,29147,5,NA,"True","False",145022265,38.76245,"Normal"
"176091",183414,"Warning","PolicyViolation","Anomalous",132930872,121668962,28670,28570,6,NA,"True","False",86399602,23.95901,"Normal"
"488517",508868,"Warning","PolicyViolation","Suspicious",133882673,171568042,38447,37842,6,NA,"True","False",123447321,38.50582,"Normal"
"492910",513458,"Warning","Policy_Violation","Suspicious",143295145,144180963,34579,33618,6,7,"True","False",203833324,15.99261,"Normal"
"269923",281131,"Warning","NormalOperation","Anomalous",131390036,122758073,28304,27623,5,NA,"True","False",114466580,37.32947,"Normal"
"303887",316478,"Warning","Policy_Violation","Anomalous",130757175,114070513,27438,18777,6,6,"True","False",184384602,17.39785,"Normal"
"51600",53714,"Informational","Policy_Violation","Anomalous",126981384,141015853,31687,32005,6,NA,"True","False",181196021,28.14447,"Normal"
"542560",565144,"Warning","PolicyViolation","Suspicious",136109436,162794461,37160,42441,6,5,"False","False",133619988,33.76267,"Normal"
"43897",45706,"Warning","Policy_Violation","Elevated",124762459,199941431,42441,40152,5,NA,"False","True",232859318,28.92013,"Normal"
"121339",126300,"Alert","PolicyViolation","Suspicious",133051882,177981060,38396,30412,5,8,"True","False",125231576,28.62192,"Normal"
"110282",114785,"Warning","Policy_Violation","Anomalous",130832333,116690499,26851,35291,5,5,"True","False",160726127,99999,"Normal"
"45811",47694,"Warning","Policy_Violation","Anomalous",127819775,102265729,24983,-1,6,NA,"True","False",182825736,99999,"Normal"
"90100",93773,"Alert","Policy_Violation","Anomalous",133255004,143894654,31036,-1,5,NA,"True","False",198337065,22.04202,"Normal"
"97691",101654,"Warning","PolicyViolation","Suspicious",121416768,142394987,29921,33941,4,NA,"True","True",110679261,33.95199,"Normal"
"405498",422398,"Warning","Policy_Violation","Suspicious",121564447,185032353,40568,39066,5,5,"True","True",145589994,33.78842,"Normal"
"223605",232906,"Warning","PolicyViolation","Suspicious",126649161,188836144,41623,31899,6,7,"False","False",182600932,32.29844,"Normal"
"132035",137442,"Warning","Policy_Violation","Suspicious",124037551,175364245,36755,37388,4,NA,"False","True",158885373,31.66679,"Normal"
"89046",92688,"Warning","PolicyViolation","Anomalous",135126803,104002581,24251,40268,5,NA,"False","False",81072097,213.5847098,"Normal"
"537426",559804,"Warning","Policy_Violation","Anomalous",129013498,147878206,31632,31832,5,NA,"False","False",210626908,32.49994,"Normal"
"302928",315495,"Warning","PolicyViolation","Critical",123608045,71112515,17857,24829,5,NA,"True","False",127744283,35.05913,"Normal"
"391492",407818,"Warning","PolicyViolation","Anomalous",131023821,110443296,24424,29100,4,NA,"True","False",184319387,34.08665,"Normal"
"416895",434294,"Warning","PolicyViolation","Anomalous",139067435,140168006,31519,35607,5,4,"False","False",125449704,19.5745,"Normal"
"254024",264585,"Warning","PolicyViolation","Suspicious",133991793,153153974,35233,45258,6,NA,"False","False",129207471,99999,"Normal"
"317345",330525,"Warning","PolicyViolation","Suspicious",128822548,157533668,34855,-1,5,5,"True","False",208713090,27.02395,"Normal"
"23554",24523,"Warning","PolicyViolation","Anomalous",129102464,102751425,25879,23010,7,NA,"True","False",120756099,30.07369,"Normal"
"181428",188975,"Warning","PolicyViolation","Anomalous",132856422,143672018,33216,41271,6,NA,"False","False",138706414,26.75538,"Normal"
"496089",516769,"Warning","PolicyViolation","Suspicious",135420737,169547214,38881,37523,6,NA,"True","False",127080744,26.10575,"Normal"
"96473",100395,"Warning","PolicyViolation","Suspicious",138881350,182078497,42289,38824,6,6,"True","False",159023196,43.54853,"Normal"
"364963",380217,"Warning","PolicyViolation","Critical",128456145,81196697,19623,17745,5,NA,"False","False",114127553,28.16365,"Normal"
"462083",481314,"Warning","PolicyViolation","Anomalous",132053242,121263252,28303,30570,6,NA,"False","False",177660121,38.95311,"Normal"
"50931",53017,"Warning","PolicyViolation","Anomalous",131678920,101313823,24635,31765,5,NA,"False","False",176029902,29.43832,"Normal"
"122331",127337,"Warning","PolicyViolation","Suspicious",129516019,188798123,39737,-1,5,NA,"True","False",161723184,34.16707,"Normal"
"67890",70666,"Warning","PolicyViolation","Suspicious",135863473,176352706,38069,30956,5,NA,"True","False",200485338,33.74215,"Normal"
"292923",305068,"Warning","PolicyViolation","Suspicious",136208788,161282926,34596,33845,5,5,"True","False",104503866,30.47856,"Normal"
"528710",550741,"Informational","PolicyViolation","Anomalous",126412414,136634868,29090,37980,5,NA,"True","False",194281704,29.71921,"Normal"
"346469",360978,"Warning","Policy_Violation","Anomalous",128925829,123390172,27125,32757,4,NA,"True","False",190270662,28.09948,"Normal"
"396683",413228,"Warning","Policy_Violation","Suspicious",127581907,204891395,46487,26155,8,NA,"False","False",161541190,26.01937,"Normal"
"215311",224276,"Warning","Policy_Violation","Anomalous",124569254,116856932,25831,32199,5,6,"True","False",171645700,33.62928,"Normal"
"194903",203032,"Warning","Policy_Violation","Suspicious",137931862,175522662,39002,33482,5,NA,"False","False",182349645,34.14976,"Normal"
"94551",98399,"Warning","PolicyViolation","Suspicious",140173948,184875241,42751,21454,7,6,"False","False",184607510,42.93765,"Normal"
"1815",1887,"Warning","Policy_Violation","Suspicious",130003354,202914609,44527,36269,6,NA,"True","False",186727101,40.00421,"Normal"
"297934",310305,"Warning","NormalOperation","Suspicious",135086395,149875940,33836,34758,5,5,"False","False",92688243,31.96445,"Normal"
"299954",312413,"Alert","ThreatDetected","Anomalous",122572987,142904302,30752,29140,5,6,"False","False",97493029,22.68522,"Normal"
"232611",242289,"Warning","PolicyViolation","Suspicious",124342736,135874377,30523,42617,5,NA,"False","True",121665498,27.38193,"Normal"
"67531",70294,"Warning","PolicyViolation","Suspicious",140422470,190023616,42062,37938,6,NA,"True","False",128367049,37.07164,"Normal"
"44962",46816,"Warning","NormalOperation","Anomalous",131298311,139563733,30151,31265,4,6,"True","False",197383080,25.80668,"Normal"
"164700",171515,"Warning","Policy_Violation","Anomalous",130489736,141428093,30107,33388,4,6,"True","False",102776284,20.04925,"Normal"
"63172",65768,"Warning","PolicyViolation","Critical",129459870,83926749,19530,36085,5,5,"False","False",122657777,19.06611,"Normal"
"23964",24953,"Warning","PolicyViolation","Anomalous",109944117,96271326,24645,33806,6,NA,"False","False",146560879,31.45785,"Normal"
"319449",332727,"Warning","PolicyViolation","Anomalous",133725030,112789230,26500,40147,6,NA,"True","False",165435386,34.77628,"Normal"
"485217",505438,"Warning","PolicyViolation","Suspicious",133094663,178945331,36942,30008,3,NA,"True","True",94106204,35.70121,"Normal"
"332037",345862,"Warning","Policy_Violation","Suspicious",221031696,65901195,23400,31265,3,NA,"True","False",172527569,25.11775,"Normal"
"94870",98728,"Warning","NormalOperation","Anomalous",126241910,138109715,30927,39409,5,NA,"False","False",99544825,28.95425,"Normal"
"159895",166496,"Informational","PolicyViolation","Suspicious",132044005,184201747,41257,34640,6,6,"False","False",112161985,27.76569,"Normal"
"399181",415828,"Warning","PolicyViolation","Anomalous",129946499,118599474,24674,27097,4,4,"False","True",93316170,36.12014,"Normal"
"239453",249388,"Warning","Policy_Violation","Anomalous",123322625,119350784,24318,45948,4,NA,"False","True",167411838,32.7384,"Normal"
"36314",37809,"Alert","Policy_Violation","Anomalous",127545879,143894879,31690,30690,5,NA,"True","False",145033912,30.38,"Normal"
"323547",337015,"Warning","PolicyViolation","Elevated",131337391,215239630,46181,26446,5,NA,"False","False",174913923,99999,"Normal"
"3107",3231,"Warning","Policy_Violation","Suspicious",125256874,148096100,33455,25327,5,NA,"True","False",128836319,20.41321,"Normal"
"279877",291489,"Warning","PolicyViolation","Elevated",136771067,204861875,44716,33216,5,6,"False","False",125860078,22.34181,"Normal"
"391609",407938,"Warning","PolicyViolation","Anomalous",130618210,113984418,26394,38441,6,NA,"True","False",179958733,35.64006,"Normal"
"89094",92737,"Warning","ThreatDetected","Suspicious",146963365,84033831,29658,43966,8,NA,"False","False",143742499,29.28376,"Normal"
"155880",162322,"Warning","PolicyViolation","Elevated",133274062,209037787,45693,31031,6,NA,"False","False",149736980,31.69928,"Normal"
"416945",434346,"Warning","PolicyViolation","Anomalous",120213056,133807259,30232,45525,6,NA,"True","False",137459153,99999,"Normal"
"311069",323986,"Warning","Policy_Violation","Suspicious",124751976,151734267,33684,38841,5,NA,"False","False",120762451,35.46868,"Normal"
"447430",466086,"Warning","PolicyViolation","Suspicious",121682289,153688100,33058,25478,4,NA,"True","True",196859653,35.51971,"Normal"
"250807",261243,"Warning","NormalOperation","Anomalous",132322068,107930386,22956,25460,4,NA,"False","False",129435885,40.74135,"Normal"
"230628",240230,"Informational","PolicyViolation","Anomalous",120488326,103019161,24505,29250,5,5,"False","False",148579540,99999,"Normal"
"543327",565947,"Warning","Policy_Violation","Anomalous",124240259,132314040,29440,39398,6,NA,"False","False",147944226,34.71691,"Normal"
"12534",13044,"Warning","Policy_Violation","Anomalous",130651912,139776921,32153,46839,6,6,"False","False",176853218,42.64427,"Normal"
"265466",276498,"Warning","PolicyViolation","Critical",125798721,79143569,18123,31632,4,7,"True","True",183257278,25.81769,"Normal"
"426510",444311,"Warning","PolicyViolation","Critical",131996101,93989749,22364,38044,5,NA,"False","False",108896485,34.29557,"Normal"
"377195",392970,"Warning","PolicyViolation","Suspicious",121988853,165208082,34986,28061,5,4,"False","False",197659159,23.95867,"Normal"
"433676",451762,"Warning","PolicyViolation","Anomalous",126479762,120458822,26848,30927,4,NA,"True","True",170158175,31.98895,"Normal"
"244980",255152,"Warning","ThreatDetected","Anomalous",127552818,135528209,31187,25482,6,4,"True","False",131914814,32.20176,"Normal"
"395566",412068,"Warning","Policy_Violation","Anomalous",128264665,133371049,27972,34556,3,NA,"True","True",145966257,30.5457,"Normal"
"368765",384187,"Warning","PolicyViolation","Anomalous",135676337,131824100,30631,32214,6,6,"True","False",174302682,28.0558,"Normal"
"488247",508587,"Warning","PolicyViolation","Suspicious",135925638,182471644,42155,30305,7,NA,"False","False",175889625,29.24068,"Normal"
"95968",99870,"Warning","PolicyViolation","Suspicious",130781938,174845439,36707,36995,4,NA,"True","True",136030048,27.5334,"Normal"
"466833",486249,"Alert","Policy_Violation","Suspicious",119981457,173577700,37976,23146,5,NA,"False","True",128571436,21.8564,"Normal"
"532043",554200,"Warning","PolicyViolation","Elevated",131728919,227370894,50322,30295,6,6,"True","False",177567088,30.39739,"Normal"
"164435",171235,"Warning","Policy_Violation","Elevated",136155117,234157401,51561,35931,6,8,"False","False",157319070,29.80008,"Normal"
"723",753,"Warning","Policy_Violation","Suspicious",132220913,163515116,37698,32951,7,8,"True","False",218531445,35.3393,"Normal"
"188213",196046,"Alert","Policy_Violation","Anomalous",133271296,141748717,31129,38229,5,NA,"True","False",155115875,25.28298,"Normal"
"272102",283398,"Warning","PolicyViolation","Suspicious",139587288,180100755,40385,33781,6,6,"False","False",116333081,25.9069,"Normal"
"5079",5291,"Warning","Policy_Violation","Critical",127502647,101272600,21300,26711,4,6,"False","False",194792761,16.58149,"Normal"
"20335",21157,"Warning","PolicyViolation","Anomalous",129304595,124387614,27841,38206,5,4,"False","False",217648331,24.94081,"Normal"
"154914",161314,"Warning","PolicyViolation","Anomalous",131435268,99262127,23004,27607,5,NA,"True","False",160656962,38.03356,"Normal"
"210776",219542,"Warning","PolicyViolation","Suspicious",133948297,122734262,31161,34560,6,NA,"True","False",162327618,24.12408,"Normal"
"419031",436543,"Warning","PolicyViolation","Critical",124708339,40240795,12254,16083,6,NA,"True","False",190574360,30.77683,"Normal"
"171475",178590,"Warning","PolicyViolation","Anomalous",135814507,139222465,34938,39378,8,6,"False","False",209280136,40.26649,"Normal"
"363301",378496,"Warning","PolicyViolation","Anomalous",137432034,154947275,36163,36110,7,NA,"False","False",215318820,26.3204,"Normal"
"522000",543742,"Informational","Policy_Violation","Critical",125151855,63551787,15771,48721,5,NA,"False","False",120086883,99999,"Normal"
"169335",176347,"Warning","Policy_Violation","Anomalous",132637354,105494551,25038,36798,6,5,"False","False",204183053,34.7634,"Normal"
"109837",114315,"Warning","PolicyViolation","Anomalous",135722301,157713016,36840,20661,7,NA,"True","False",151113122,29.35807,"Normal"
"268593",279751,"Warning","Policy_Violation","Suspicious",131273175,162576834,35865,39714,5,NA,"True","False",130384263,34.95636,"Normal"
"361359",376488,"Warning","PolicyViolation","Suspicious",189701225,70368335,24682,38533,5,5,"False","False",183577582,27.49872,"Normal"
"70710",73603,"Warning","PolicyViolation","Suspicious",137702591,200836145,43979,41121,6,6,"True","False",121348876,99999,"Normal"
"106537",110880,"Warning","Policy_Violation","Anomalous",125962526,130012685,28396,45901,5,NA,"False","False",128621040,33.65437,"Normal"
"81014",84324,"Warning","PolicyViolation","Anomalous",124762377,142726674,30747,34836,5,NA,"True","False",170797016,25.43046,"Normal"
"409541",426622,"Warning","Policy_Violation","Suspicious",130100565,194041541,42166,-1,6,NA,"False","False",146654788,35.03104,"Normal"
"544033",566693,"Warning","PolicyViolation","Anomalous",123083714,118347864,27449,39999,5,NA,"True","False",123294291,99999,"Normal"
"187502",195305,"Warning","PolicyViolation","Suspicious",125701113,151740710,32826,43400,5,6,"False","False",111635839,28.7845,"Normal"
"279004",290589,"Warning","Policy_Violation","Critical",129249096,116949814,27210,29330,7,NA,"True","False",154542812,99999,"Normal"
"376695",392455,"Warning","PolicyViolation","Suspicious",129665272,139144978,30410,26722,4,6,"False","True",120041371,29.40718,"Normal"
"225105",234479,"Warning","Policy_Violation","Anomalous",137506998,142612878,33918,21791,6,5,"True","False",149796337,99999,"Normal"
"295443",307716,"Warning","PolicyViolation","Suspicious",125690525,163631226,35629,38210,5,4,"True","False",189558268,30.0761,"Normal"
"208378",217048,"Warning","Policy_Violation","Suspicious",127479505,175479148,38383,36401,5,5,"True","False",102017803,21.3112,"Normal"
"400441",417126,"Warning","PolicyViolation","Suspicious",124923811,175964277,38981,-1,6,NA,"True","False",176335100,33.83629,"Normal"
"140826",146598,"Warning","PolicyViolation","Anomalous",133932240,126819828,29482,44454,6,5,"True","False",136990930,24.25609,"Normal"
"102868",107039,"Warning","Policy_Violation","Suspicious",125984543,159073494,34206,32949,4,NA,"True","True",194478062,31.00787,"Normal"
"503630",524628,"Warning","Policy_Violation","Anomalous",128451052,130286409,28480,36118,5,NA,"True","False",179923902,18.4541,"Normal"
"98958",102976,"Warning","PolicyViolation","Critical",124776382,92928941,19821,22200,4,NA,"False","False",132498458,24.61958,"Normal"
"244525",254683,"Warning","PolicyViolation","Suspicious",130759555,109623459,29982,25682,6,NA,"False","False",137658904,26.82045,"Normal"
"481411",501476,"Warning","PolicyViolation","Anomalous",134923151,153191202,34423,35068,6,NA,"False","False",183114552,28.37056,"Normal"
"255020",265614,"Warning","Policy_Violation","Suspicious",138530825,187993083,40134,33227,4,NA,"False","True",133922902,29.66215,"Normal"
"379415",395269,"Warning","Policy_Violation","Anomalous",122175851,129494075,26659,36296,4,NA,"False","True",156954534,99999,"Normal"
"129119",134412,"Warning","Policy_Violation","Anomalous",124547284,146622538,33321,25194,6,4,"True","False",130091980,34.30291,"Normal"
"292663",304801,"Alert","PolicyViolation","Suspicious",128007607,169347738,37497,40193,5,NA,"False","False",150478162,29.21639,"Normal"
"397133",413699,"Warning","Policy_Violation","Critical",120585948,84217748,18887,31600,5,4,"True","False",172658069,26.03729,"Normal"
"46287",48192,"Warning","Policy_Violation","Suspicious",130798882,161877213,37054,31124,6,5,"False","False",156070715,25.71128,"Normal"
"253587",264135,"Warning","Policy_Violation","Suspicious",172624930,90369474,29360,37403,6,NA,"False","False",222981933,31.56571,"Normal"
"489860",510268,"Warning","Policy_Violation","Suspicious",142205255,164065351,37813,39475,7,NA,"False","False",178031068,30.5482,"Normal"
"432503",450549,"Warning","Policy_Violation","Suspicious",140294779,163062480,37178,38515,6,NA,"False","False",159395036,28.20987,"Normal"
"39457",41083,"Warning","PolicyViolation","Elevated",130554986,175480539,37982,50221,4,NA,"True","True",140717187,25.40091,"Normal"
"504179",525198,"Alert","PolicyViolation","Suspicious",132741428,164930803,36597,20803,5,NA,"False","False",201724658,32.47402,"Normal"
"366728",382068,"Warning","PolicyViolation","Suspicious",136327863,171786029,37860,27452,5,NA,"False","False",148306666,99999,"Normal"
"492589",513116,"Warning","Policy_Violation","Suspicious",129743965,153327462,33933,34089,5,NA,"True","False",140972333,28.47032,"Normal"
"329195",342922,"Alert","PolicyViolation","Anomalous",130219474,132767258,31307,30930,7,NA,"False","False",147766614,39.24781,"Normal"
"252037",262526,"Warning","PolicyViolation","Suspicious",125707496,185179866,38027,40904,4,NA,"True","True",218557700,32.88185,"Normal"
"176192",183518,"Warning","NormalOperation","Suspicious",137761966,144506652,32836,37912,5,NA,"False","False",154830490,45.89218,"Normal"
"422769",440436,"Warning","PolicyViolation","Anomalous",128854306,153909955,31669,33674,4,5,"True","True",156981488,33.41681,"Normal"
"543944",566599,"Informational","Policy_Violation","Suspicious",130227338,162286158,36419,29645,6,5,"True","False",154898243,23.08394,"Normal"
"542264",564835,"Warning","PolicyViolation","Anomalous",127390079,136944472,29015,29035,5,NA,"False","False",153905062,45.42049,"Normal"
"396519",413058,"Informational","PolicyViolation","Suspicious",125106682,187839821,42331,40149,7,NA,"True","False",170785628,18.41695,"Normal"
"106411",110749,"Warning","Policy_Violation","Anomalous",114530287,147971313,34092,46581,7,NA,"True","False",86690183,26.39218,"Normal"
